V1,Tags,Title,Site URL,Mobile URL,,
Women,women,Women,/c/women/-/N-5xtd3#?lnk=gnav_women_1_0,,,
Womens Clothing,women,women's_clothing,/c/women-s-clothing/-/N-5xtcm,,,
Women's shoes,women,women's_shoes,/c/women-s-shoes/-/N-5xtd2,,,
Women's Accessories,women,women's_accessories,/c/women-s-accessories/-/N-5xtbp,,,
Juniors,"women,shop_for",juniors,/c/juniors-women/-/N-5ouvk,,,
Plus Size,"women,shop_for",plus_size,/c/plus-size-women/-/N-5ouvj,,,
Petites,"women,shop_for",petites,/c/petites-women/-/N-5ouvh,,,
Maternity,"women,shop_for",maternity,/c/maternity-women/-/N-5ouvi,,,
Clearance,"women,featured_deals",clearance,/c/women-s-clearance/-/N-5tg3c,,,
Weekly Deals,"women,featured_deals",weekly_deals,/sb/women/-/N-5xtd3Z5tdv2Z5tdv0,http://m.target.com/c/women/-/N-5xtd3Z5tdv2Z5tdv0?type=products,,
new clothing,"womens,whats_new",new_clothing,/sb/women-s-clothing/-/N-5xtcmZ5ewil,http://m.target.com/c/women-s-clothing/-/N-5xtcmZ5ewil?type=products,,
new shoes,"womens,whats_new",new_shoes,/sb/women-s-shoes/-/N-5xtd2Z5ewi,http://m.target.com/c/women-s-shoes/-/N-5xtd2Z5ewil?type=products,,
new accessories,"womens,whats_new",new_accessories,/sb/women-s-accessories/-/N-5xtbpZ5ewil,http://m.target.com/c/women-s-accessories/-/N-5xtbpZ5ewil?type=products,,
C9 by Champion,"womens,featured_brands",C9,/c/c9-by-champion-brand-shop/-/N-5tdw7,,,
Converse One Star,"womens,featured_brands",Converse_One_Star,/c/converse-apparel-dvm/-/N-5t1kf,,,
labworks,"womens,featured_brands",labworks,/c/labworks-brand-shop/-/N-56615,,,
Liz Lange Maternity,"womens,featured_brands,mobile_exclude",Liz_Lange_Maternity,/c/liz-lange-brand-shop/-/N-5q6o6,,,
Merona,"womens,featured_brands,mobile_exclude",Merona,/c/merona-for-women-brand-shop/-/N-5q6o8,,,
Mossimo,"womens,featured_brands,mobile_exclude",Mossimo,sb/women/mossimo/mossimo-black/mossimo-supply-co/mossimo-supply-co-petites/-/N-5xtd3Z5x4ebZ5xx5gZ5xvm1Z5rs1q,http://m.target.com/c/women/mossimo/mossimo-black/mossimo-supply-co/mossimo-supply-co-petites/-/N-5xtd3Z5x4ebZ5xx5gZ5xvm1Z5rs1q?type=products,,
Sam & Libby,"womens,featured_brands,mobile_exclude",Sam_&_Libby,/c/sam-libby-brand-shop/-/N-55nsu,,,
TEVOLIO,"womens,featured_brands",TEVOLIO,/c/tevolio-brand-shop/-/N-55nlh,,,
On the Dot,"womens,more_to_explore",On_The_Dot,http://targetstyle.tumblr.com/,,,
sports fan shop,"womens,more_to_explore",sports_fan_shop,/c/fan-shop-sports-outdoors/-/N-5xt77,,,
